ID,Name,SMILES,ECOLI
283,Adenosine 5' phosphosulphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,True
284,D-serine,N[C@H](CO)C(=O)O,True
285,D-fucose,CC1OC(O)C(O)C(O)C1O,True
286,Maltotriose,OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,True
287,Aes,NCCc1ccc(S(=O)(=O)F)cc1,False
288,Adp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,True
289,Fructuronate,O=C(O)[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,True
290,Alpha-d-glucuronate,O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
291,Allolactose,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,True
292,Alpha-l-rhamnopyranose,C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,True
293,Leucine,CC(C)CC(N)C(=O)O,True
294,Purine,c1ncc2nc[nH]c2n1,False
295,Sodium,[Na],True
296,N-monoacetylchitobiose-6-phosphate,CC(O)=N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](N)C(O)O[C@@H]2CO)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,False
297,L-carnitine,C[N+](C)(C)C[C@H](O)CC(=O)O,True
298,Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,False
299,N-acetyl-l-serine,CC(O)=N[C@@H](CO)C(=O)O,False
300,Sulphide,[S-2],True
301,O-acetyl-l-serine,CC(=O)OC[C@H](N)C(=O)O,True
302,Cytidine,N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(O)n1,True
303,Methyl-5'-thioadenosine,C[C@@]1(n2cnc3c(N)ncnc32)O[C@H](CS)[C@@H](O)[C@H]1O,False
