,Resultado
50,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O$CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O$MNXR129020_MNXM88$NOEC
51,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)O$CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O$MNXR129021_MNXM431$NOEC
52,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O$CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O$MNXR129021_MNXM431$NOEC
53,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)O$CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O$MNXR129022_MNXM90922$NOEC
54,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O$CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O$MNXR129022_MNXM90922$NOEC
,Resultado
0,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR94851_MNXM305$2.6.1.40
1,O=C(O)CCC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR94851_MNXM305$2.6.1.40
2,CC(CO)C(=O)O$CC(C=O)C(=O)O$MNXR100633_MNXM933$1.1.1.35
3,CC(CO)C(=O)O$CC(C=O)C(=O)O$MNXR100634_MNXM305$1.1.1.31
4,CC(CO)C(=O)O$CC(C=O)C(=O)O$MNXR100663_MNXM933$1.1.1.31;1.1.1.35
5,CC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR107287_MNXM305$2.6.1.40
6,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR107287_MNXM305$2.6.1.40
7,CC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR108720_MNXM933$2.6.1;2.6.1.18
8,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR108720_MNXM933$2.6.1;2.6.1.18
9,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR108721_MNXM933$2.6.1.22
10,O=C(O)CCC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR108721_MNXM933$2.6.1.22
11,CC(C=O)=C(O)C=C(O)C(=O)O$CC(C=O)C(=O)O$MNXR112675_MNXM933$3.7.1.-
12,O$CC(C=O)C(=O)O$MNXR112675_MNXM933$3.7.1.-
13,CC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR115181_MNXM933$2.6.1.40
14,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR115181_MNXM933$2.6.1.40
15,CC(C=O)C(O)=CC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR122501_MNXM305$3.7.1
16,O$CC(C=O)C(=O)O$MNXR122501_MNXM305$3.7.1
17,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR125753_MNXM305$2.6.1.22
18,O=C(O)CCC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR125753_MNXM305$2.6.1.22
19,CC(=O)C(=O)O$CC(C=O)C(=O)O$MNXR134416_MNXM305$2.6.1.18
20,CC(CN)C(=O)O$CC(C=O)C(=O)O$MNXR134416_MNXM305$2.6.1.18
21,CCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c([NH3+])ncnc32)C(O)C1OP(=O)(O)O$CC(C=O)C(=O)O$MNXR136666_MNXM13749$NOEC
22,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$CC(C=O)C(=O)O$MNXR136666_MNXM13749$NOEC
23,O=C=O$CC(C=O)C(=O)O$MNXR136666_MNXM13749$NOEC
24,CC(CO)C(=O)O$CC(C=O)C(=O)O$MNXR137467_MNXM13749$NOEC
,Resultado
0,N=C(O)NCCCCN$O=C(O)O$MNXR96483_MNXM60$NOEC
